address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2
"C/ Cabanes, El Poble Sec - Parc de Montjuïc",1,Flat,Flat,0,2020-10-28,165,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/154807040/d,935,SOLVIA SERVICIOS INMOBILIARIOS S.L,9202764388552,3,61
"C/ Manuel Angelón, El Putget i el Farró",1,Flat,Flat,0,2020-10-28,25,0,False,/es/alquiler/vivienda/barcelona-capital/calefaccion/154880303/d,845,SOLVIA SERVICIOS INMOBILIARIOS S.L,9202764388552,2,38
"Carrer D'espronceda, 113, El Poblenou",1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157625987/d,990,BCN LIVING,9202751969010,2,50
"Buenos Aires, L'Antiga Esquerra de l'Eixample",2,Attic,Flat,3,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157692452/d,1650,CANAR INMOBILIARIA Y NEGOCIOS,943003008044,4,125
Dreta de l'Eixample,2,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion/157692428/d,1120,AREA CASA,9202752570036,2,95
"De Saragossa, El Putget i el Farró",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/zona-comunitaria-ascensor/157644192/d,1359,FINCAS JJP,9202754252881,4,103
"De Casanova, L'Antiga Esquerra de l'Eixample",2,Flat,Flat,0,2020-10-28,243,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/156918113/d,1257,FINCAS JJP,9202754252881,2,68
"Del Cardener, La Salut",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/la-salut/157616340/d,1050,FINCAS JJP,9202754252881,2,66
El Poble Sec - Parc de Montjuïc,2,Flat,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-amueblado-television-se-aceptan-mascotas-internet/157692303/d,,ADMINISTRACION MONICA ,9202752750325,4,100
"Hurtado, El Putget i el Farró",1,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-amueblado/157692294/d,675,"FINCAS CALVET, S.L.",9202752952516,0,30
"Carrer de la Mare de Déu Dels Àngels, La Teixonera",1,Flat,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/la-teixonera/157691604/d,600,,9202765018950,2,50
"Carretes, El Raval",2,Flat,Flat,0,2020-10-28,150,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/156393522/d,950,RS GROUP,9202759306905,2,65
